ip,subnet_24,zone_label,service_type,service_confidence,ports,protocols,community,degree,in_degree,out_degree,anomaly_score,anomaly_level,is_anomaly
10.26.0.151,10.26.0,"10.26.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,131,2,5561,11,0.0611,Low,False
10.26.4.144,10.26.4,"10.26.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.4.172,10.26.4,"10.26.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.114.5,10.26.114,"10.26.114|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.14,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.2.40,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.159,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.2.36,10.16.2,10.16.2|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.2.48,10.16.2,"10.16.2|Logging|1514,36000",Logging,0.5,1514|36000,,197,1,5578,10,0.0625,Low,False
10.16.1.170,10.16.1,10.16.1|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.2.43,10.16.2,10.16.2|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.1.169,10.16.1,"10.16.1|Logging|1514,36000",Logging,0.5,1514|36000,,242,1,5579,10,0.0625,Low,False
10.16.2.44,10.16.2,10.16.2|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.0.169,10.16.0,"10.16.0|Logging|1514,36000",Logging,0.5,1514|36000,,127,1,5572,10,0.0625,Low,False
10.16.0.39,10.16.0,"10.16.0|Logging|1514,36000",Logging,0.5,1514|36000,,146,1,5557,10,0.0625,Low,False
10.26.0.137,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.0.10,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.0.43,10.16.0,"10.16.0|Logging|1514,36000",Logging,0.5,1514|36000,,54,1,1,5,0.0625,Low,False
10.16.1.173,10.16.1,10.16.1|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.1.52,10.16.1,10.16.1|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.26.0.11,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.2.10,10.26.2,"10.26.2|Web|443,1514,36000",Web,0.33,443|1514|36000,,198,2,5572,11,0.0611,Low,False
10.26.3.169,10.26.3,"10.26.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.0.138,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.0.9,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.10,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.19,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
