id:ID,name,type,security_domain,subnet,role_guess,zone_id,zone_label,inbound_summary,outbound_summary,inbound_count,outbound_count
10.10.5.136,10.10.5.136,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.8,10.10.2.8,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.20,10.10.2.20,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.144,10.10.2.144,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.16,10.10.2.16,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.7.139,10.10.7.139,Host,Internal,10.10.7,client,"flow_cli_web|10.10.7|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.7 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.1.143,10.10.1.143,Host,Internal,10.10.1,client,"flow_cli_web|10.10.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.20.0.165,10.20.0.165,Host,Internal,10.20.0,client,"flow_cli_web|10.20.0|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.0 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.20.0.161,10.20.0.161,Host,Internal,10.20.0,client,"flow_cli_web|10.20.0|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.0 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.15,10.10.2.15,Host,Internal,10.10.2,client,flow_cli_web|10.10.2|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.2 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.20.0.160,10.20.0.160,Host,Internal,10.20.0,client,flow_cli_web|10.20.0|peers:10.20.3|role:client,Web 服务 客户端 · 10.20.0 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.20.1.37,10.20.1.37,Host,Internal,10.20.1,client,flow_cli_web|10.20.1|peers:10.20.3|role:client,Web 服务 客户端 · 10.20.1 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.4.145,10.10.4.145,Host,Internal,10.10.4,client,flow_cli_web|10.10.4|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.4 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:1514),1,2
10.10.4.136,10.10.4.136,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.4.148,10.10.4.148,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.4.141,10.10.4.141,Host,Internal,10.10.4,client,flow_cli_web|10.10.4|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.4 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.4.138,10.10.4.138,Host,Internal,10.10.4,client,flow_cli_web|10.10.4|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.4 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.2.11,10.10.2.11,Host,Internal,10.10.2,client,flow_cli_web|10.10.2|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.2 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:1514),1,2
10.10.4.133,10.10.4.133,Host,Internal,10.10.4,client,flow_cli_web|10.10.4|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.4 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.1.142,10.10.1.142,Host,Internal,10.10.1,client,flow_cli_web|10.10.1|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.1 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.2.135,10.10.2.135,Host,Internal,10.10.2,client,flow_cli_web|10.10.2|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.2 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.20.2.31,10.20.2.31,Host,Internal,10.20.2,client,"flow_cli_web|10.20.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.20.2.36,10.20.2.36,Host,Internal,10.20.2,client,"flow_cli_web|10.20.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.20.1.163,10.20.1.163,Host,Internal,10.20.1,client,"flow_cli_web|10.20.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.1.149,10.10.1.149,Host,Internal,10.10.1,client,"flow_cli_web|10.10.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
